title,url,price_numeric,municipality,condition,ad_type,property_type,rooms,square_m2,equipment,level,heating,price_per_m2,latitude,longitude
Stan Velešići 50m2 - [Iznajmljivanje],https://olx.ba/artikal/59164145,300.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,50.0,Namješten,1,Plin,6.0,43.869442,18.400227
Stanovi i apartmani Sarajevo - Stari Grad - [Iznajmljivanje],https://olx.ba/artikal/71718316,300.0,Sarajevo - Stari Grad,Dobro stanje,Iznajmljivanje,Stan,1.0,35.0,Namješten,0,Drva,8.571428571428571,43.863231,18.435523
Stanovi i apartmani Ilidža - [Iznajmljivanje],https://olx.ba/artikal/70249776,300.0,Ilidža,Novogradnja,Iznajmljivanje,Stan,4.0,250.0,Namješten,0,Plin,1.2,,
IZDAJEM STAN HADŽIĆI/Mostarsko Raskršće 57m2 - [Iznajmljivanje],https://olx.ba/artikal/43697347,350.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,2.0,55.0,Namješten,3,Centralno (Kotlovnica),6.363636363636363,,
Stan Sarajevo - Novi Grad 47m2 - [Iznajmljivanje],https://olx.ba/artikal/71594562,350.0,Sarajevo - Novi Grad,Parcijalno renoviran,Iznajmljivanje,Stan,3.0,47.0,Polunamješten,0,Centralno (Kotlovnica),7.446808510638298,,
Stan Sarajevo - Novo Sarajevo 48m2 - [Iznajmljivanje],https://olx.ba/artikal/71685003,400.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,48.0,Namješten,0,Centralno (Kotlovnica),8.333333333333334,43.842589,18.394185
Stan najam Stup - [Iznajmljivanje],https://olx.ba/artikal/71720362,400.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,3.0,80.0,Namješten,2,Plin,5.0,43.836807,18.324087
Potpuno opremljena garsonjera novogradnja -Nova Vogosca - [Iznajmljivanje],https://olx.ba/artikal/71853143,400.0,Sarajevo - Centar,Novogradnja,Iznajmljivanje,Stan,,19.0,Namješten,5,Ostalo,21.05263157894737,,
NN Nekretnine : Dvosoban stan u prizemlju kuće - Vojničko Polje - [Iznajmljivanje],https://olx.ba/artikal/60898666,400.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,50.0,Namješten,1,Plin,8.0,43.838337,18.339986
Stan Sarajevo - Novo Sarajevo 60m2 - [Iznajmljivanje],https://olx.ba/artikal/55435743,400.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,60.0,Namješten,14,Centralno (gradsko),6.666666666666667,43.855672,18.3812
"Stan Sarajevo - Pofalići, Humska 630 d, 58m2 - [Iznajmljivanje]",https://olx.ba/artikal/56048389,400.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,58.0,Namješten,1,Plin,6.896551724137931,43.852495,18.389267
Stan Sarajevo - Centar 64m2 - [Iznajmljivanje],https://olx.ba/artikal/67018563,400.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,64.0,Namješten,0,Plin,6.25,,
"PROSTOR izdaje: Jednosoban stan, Koševsko brdo - [Iznajmljivanje]",https://olx.ba/artikal/70934866,400.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,40.0,Polunamješten,0,Ostalo,10.0,43.873756,18.403539
Iznajmljuje se namješten stan Istočno Sarajevo-Lukavica kod Toma - [Iznajmljivanje],https://olx.ba/artikal/71717702,400.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,1.0,35.0,Namješten,3,Centralno (Plin),11.428571428571429,43.820528,18.3605
Stanovi i apartmani Sarajevo - Novi Grad - Otoka - [Iznajmljivanje],https://olx.ba/artikal/70610239,420.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,45.0,Namješten,2,Centralno (gradsko),9.333333333333334,,
Stanovi i apartmani Sarajevo - Stari Grad - [Iznajmljivanje],https://olx.ba/artikal/71848023,430.0,Sarajevo - Stari Grad,Renoviran,Iznajmljivanje,Stan,,28.0,Namješten,0,Struja,15.357142857142858,,
Stanovi i apartmani Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/70573482,450.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,1.0,30.0,Namješten,0,Centralno (Plin),15.0,43.871673,18.400763
Stan Sarajevo - Novo Sarajevo 100m2 - [Iznajmljivanje],https://olx.ba/artikal/71370088,450.0,Sarajevo - Novo Sarajevo,Novogradnja,Iznajmljivanje,Stan,3.0,100.0,Namješten,2,Centralno (Kotlovnica),4.5,,
Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/70882089,450.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,60.0,Namješten,6,Centralno (gradsko),7.5,43.850535,18.402105
IZDAJEM IZNAJMLJUJEM STAN 30M2 KOD OPSTINE NOVI GRAD SARAJEVO - [Iznajmljivanje],https://olx.ba/artikal/68612185,450.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,,30.0,Namješten,4,Centralno (gradsko),15.0,43.843476,18.355147
Stan Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71060836,450.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,30.0,Namješten,2,Plin,15.0,43.845876,18.383308
Stan Sarajevo - Novo Sarajevo 100m2 - [Iznajmljivanje],https://olx.ba/artikal/71370399,450.0,Sarajevo - Novo Sarajevo,Novogradnja,Iznajmljivanje,Stan,3.0,100.0,Namješten,2,Centralno (Kotlovnica),4.5,43.864114,18.38217
Stan Istočno Sarajevo - 30m2 - [Iznajmljivanje],https://olx.ba/artikal/71773746,450.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,1.0,30.0,Namješten,1,Struja,15.0,43.874666,18.324135
"PROSTOR izdaje: Jednosoban stan, 42m2, Višnjik - [Iznajmljivanje]",https://olx.ba/artikal/71708880,450.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,42.0,Namješten,1,Plin,10.714285714285714,,
Centar Ciglane- Koševsko jednosoban namješten stan - [Iznajmljivanje],https://olx.ba/artikal/70900603,450.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,36.0,Namješten,1,Plin,12.5,43.869692,18.407212
"Stan, garsonjera APARTMAN Sarajevo Pofalići - [Iznajmljivanje]",https://olx.ba/artikal/55528199,450.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,28.0,Namješten,0,Plin,16.071428571428573,43.859648,18.387468
Stan Sarajevo/ Novi Grad/Mojmilo/Namješten 53m2 - [Iznajmljivanje],https://olx.ba/artikal/71584711,450.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,53.0,Namješten,6,Centralno (gradsko),8.49056603773585,43.838505,18.347565
Stan Grbavica (zvati na 063 370 610) - [Iznajmljivanje],https://olx.ba/artikal/55472754,450.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,53.0,Namješten,0,Centralno (Plin),8.49056603773585,,
Stan Velesici - [Iznajmljivanje],https://olx.ba/artikal/62445459,450.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,37.0,Namješten,0,Struja,12.16216216216216,43.846383,18.356379
Stan na Koševskom brdu - [Iznajmljivanje],https://olx.ba/artikal/37930793,450.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,1.0,33.0,Namješten,2,Struja,13.636363636363637,43.870101,18.405449
Stan Sarajevo - Centar 40m2 - [Iznajmljivanje],https://olx.ba/artikal/71091386,490.0,Sarajevo - Centar,Parcijalno renoviran,Iznajmljivanje,Stan,1.0,40.0,Polunamješten,-1,Struja,12.25,,
"Renovirana garsonjera, 26m2 / Koševsko brdo, Centar - [Iznajmljivanje]",https://olx.ba/artikal/71789588,500.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,,26.0,Namješten,0,Struja,19.23076923076923,43.863757,18.404285
"100911 Trosoban stan u kući 60m2, Pofalići - [Iznajmljivanje]",https://olx.ba/artikal/71759423,500.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,3.0,60.0,Namješten,1,Centralno (Kotlovnica),8.333333333333334,43.866024,18.389309
Trosoban stan 72m2 sa garažom Hrasnica - Ilidža - [Iznajmljivanje],https://olx.ba/artikal/71012360,500.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,3.0,72.0,Namješten,1,Struja,6.944444444444445,43.796843,18.307066
Stanovi i apartmani Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71838974,500.0,Sarajevo - Novi Grad,Parcijalno renoviran,Iznajmljivanje,Stan,1.0,43.0,Namješten,1,Struja,11.627906976744184,,
Stanovi i apartmani Vogošća - [Iznajmljivanje],https://olx.ba/artikal/71663763,500.0,Vogošća,Dobro stanje,Iznajmljivanje,Stan,2.0,50.0,Namješten,1,Struja,10.0,,
"PROSTOR izdaje: Garsonjera, 24m2, Mejtaš - [Iznajmljivanje]",https://olx.ba/artikal/71353815,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,,24.0,Namješten,10,Centralno (gradsko),20.83333333333333,,
Garsonjera Stup- Tibre izdavanje - [Iznajmljivanje],https://olx.ba/artikal/71851846,500.0,Ilidža,Novogradnja,Iznajmljivanje,Stan,,32.0,Namješten,4,Centralno (gradsko),15.625,43.841023,18.326351
"PROSTOR izdaje: Jednosoban stan, 40m2, Koševsko brdo - [Iznajmljivanje]",https://olx.ba/artikal/71422947,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,40.0,Namješten,2,Ostalo,12.5,43.869453,18.403949
Stan Sarajevo Centar - [Iznajmljivanje],https://olx.ba/artikal/71354571,500.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,1.0,36.0,Namješten,1,Struja,13.88888888888889,,
Stan Sarajevo - Novo Sarajevo Čengić Vila - 30m2 - [Iznajmljivanje],https://olx.ba/artikal/71756025,500.0,Sarajevo - Novo Sarajevo,Novogradnja,Iznajmljivanje,Stan,1.0,30.0,Namješten,2,Centralno (gradsko),16.666666666666668,,
Stanovi i apartmani Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71720089,500.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,45.0,Namješten,0,Plin,11.11111111111111,43.863817,18.387596
Stan iznajmljivanje - [Iznajmljivanje],https://olx.ba/artikal/71525252,500.0,Ilidža,Renoviran,Iznajmljivanje,Stan,1.0,33.0,Namješten,3,Struja,15.151515151515152,,
Dvosoban stan / Jukićeva / Koševsko brdo - [Iznajmljivanje],https://olx.ba/artikal/70798029,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,54.0,Namješten,2,Centralno (gradsko),9.25925925925926,43.875906,18.403236
Čengić Vila jednosoban namješten stan Vranicin neboder - [Iznajmljivanje],https://olx.ba/artikal/71676122,500.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,35.0,Namješten,13,Centralno (gradsko),14.285714285714286,43.850409,18.376074
Stan Sarajevo - Novo Sarajevo 30m2 - [Iznajmljivanje],https://olx.ba/artikal/71755589,500.0,Sarajevo - Novo Sarajevo,Novogradnja,Iznajmljivanje,Stan,1.0,30.0,Namješten,2,Centralno (gradsko),16.666666666666668,43.848696,18.368727
"Stan za iznajmljivanje - Mojmilo, Olimpijsko naselje - [Iznajmljivanje]",https://olx.ba/artikal/71793357,500.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,2.0,56.0,Nenamješten,4,Centralno (gradsko),8.928571428571429,,
Stan Sarajevo - Stari Grad - [Iznajmljivanje],https://olx.ba/artikal/71598015,500.0,Sarajevo - Stari Grad,Novogradnja,Iznajmljivanje,Apartman,3.0,60.0,Namješten,0,Struja,8.333333333333334,,
"Stan u kući, Ilidža, Rakovica, Stanjevac, 90m2 - [Iznajmljivanje]",https://olx.ba/artikal/71551415,500.0,Ilidža,Novogradnja,Iznajmljivanje,Stan,3.0,90.0,Namješten,1,Drva,5.555555555555555,43.875132,18.202102
Stan Ilijaš 63m2 - [Iznajmljivanje],https://olx.ba/artikal/71549825,500.0,Ilijaš,Novogradnja,Iznajmljivanje,Stan,2.0,63.0,Namješten,1,Centralno (Kotlovnica),7.936507936507937,43.95193,18.266487
Jednosoban stan za iznamljivanje Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71857926,500.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,1.0,39.0,Namješten,15,Centralno (gradsko),12.82051282051282,,
Stanovi i apartmani Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71864105,500.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,1.0,32.0,Namješten,1,Struja,15.625,,
Stanovi i apartmani Vogošća - [Iznajmljivanje],https://olx.ba/artikal/71746066,500.0,Vogošća,Dobro stanje,Iznajmljivanje,Stan,2.0,48.0,Namješten,0,Struja,10.416666666666666,43.901387,18.344179
Stan Koševsko Brdo - [Iznajmljivanje],https://olx.ba/artikal/71746568,500.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,43.0,Namješten,0,Struja,11.627906976744184,,
Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/70844922,500.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Apartman,1.0,40.0,Namješten,0,Struja,12.5,43.859785,18.347537
Stanovi i apartmani Sarajevo - Stari Grad - [Iznajmljivanje],https://olx.ba/artikal/71243254,500.0,Sarajevo - Stari Grad,Dobro stanje,Iznajmljivanje,Stan,,25.0,Namješten,0,Struja,20.0,43.860175,18.431673
Stan Sarajevo - Centar - [Iznajmljivanje],https://olx.ba/artikal/71547672,500.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,,25.0,Namješten,0,Struja,20.0,,
Stanovi i apartmani Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/70253135,500.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,44.0,Namješten,0,Plin,11.363636363636363,43.874666,18.324135
Stan Sarajevo - Centar 53m2 - [Iznajmljivanje],https://olx.ba/artikal/71714372,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,53.0,Namješten,2,Centralno (Kotlovnica),9.433962264150944,,
Stan Sarajevo - Centar 40m2 - [Iznajmljivanje],https://olx.ba/artikal/71744083,500.0,Sarajevo - Centar,Parcijalno renoviran,Iznajmljivanje,Stan,1.0,40.0,Namješten,0,Struja,12.5,43.884408,18.417764
"Iznajmljuje se stan Tibra- Stup, opremljen. - [Iznajmljivanje]",https://olx.ba/artikal/71854655,500.0,Ilidža,Novogradnja,Iznajmljivanje,Stan,1.0,32.0,Namješten,-2,Plin,15.625,,
Stanovi i apartmani Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71831181,500.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,2.0,50.0,Namješten,2,Struja,10.0,43.853455,18.357982
Stan 29m2 - [Iznajmljivanje],https://olx.ba/artikal/70623133,500.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,,29.0,Namješten,3,Centralno (Kotlovnica),17.24137931034483,43.849642,18.354031
Aneks-stan sa grijanjem u cijeni od 500 KM - [Iznajmljivanje],https://olx.ba/artikal/70519218,500.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,1.0,42.0,Namješten,-1,Centralno (Kotlovnica),11.904761904761903,43.845582,18.368399
Jednosoban stan na Višnjiku - [Iznajmljivanje],https://olx.ba/artikal/71721473,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,32.0,Namješten,1,Centralno (Plin),15.625,,
Stanovi i apartmani Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71819060,500.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,1.0,40.0,Namješten,7,Plin,12.5,,
NN Nekretnine : Trosoban stan - Velešići - [Iznajmljivanje],https://olx.ba/artikal/70641748,500.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,60.0,Namješten,0,Struja,8.333333333333334,43.872042,18.400809
Stan Banja Luka - Borik 38m2 - [Iznajmljivanje],https://olx.ba/artikal/71719121,550.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,1.0,38.0,Namješten,4,Centralno (gradsko),14.473684210526317,44.770647,17.213587
Stan Ilidža - [Iznajmljivanje],https://olx.ba/artikal/71803626,550.0,Ilidža,Renoviran,Iznajmljivanje,Stan,2.0,33.0,Namješten,1,Struja,16.666666666666668,43.832598,18.301146
Namješten stan - garsonjera - Centar - Bjelave - 30 m2 - [Iznajmljivanje],https://olx.ba/artikal/71864946,550.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,,30.0,Namješten,1,Centralno (Plin),18.33333333333333,,
Stan Sarajevo - Novi Grad - [Iznajmljivanje],https://olx.ba/artikal/71668512,550.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,40.0,Namješten,4,Struja,13.75,43.846237,18.371138
"PROSTOR izdaje: Trosoban stan, Kromolj - [Iznajmljivanje]",https://olx.ba/artikal/71026730,550.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,3.0,70.0,Polunamješten,0,Plin,7.857142857142857,43.884075,18.411856
Stanovi i apartmani Sarajevo - Centar - [Iznajmljivanje],https://olx.ba/artikal/71582376,550.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,65.0,Namješten,0,Centralno (Kotlovnica),8.461538461538462,,
Stan izdavanje Centar Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71684096,550.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,50.0,Polunamješten,2,Plin,11.0,43.877885,18.416488
Stan Sarajevo - Novi Grad 70m2 Alipasino - [Iznajmljivanje],https://olx.ba/artikal/71723628,550.0,Sarajevo - Novi Grad,Dobro stanje,Iznajmljivanje,Stan,3.0,70.0,Namješten,8,Centralno (gradsko),7.857142857142857,,
Stan Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71667087,550.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,36.0,Namješten,11,Centralno (gradsko),15.27777777777778,,
Stan Sarajevo - Stari Grad 42m2 - [Iznajmljivanje],https://olx.ba/artikal/71350695,550.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,2.0,42.0,Namješten,0,Centralno (Plin),13.095238095238097,43.865221,18.432103
"Stan, Hrasno - [Iznajmljivanje]",https://olx.ba/artikal/41720818,550.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,1.0,36.0,Namješten,9,Centralno (gradsko),15.27777777777778,43.84859,18.3826
"Stan Istočno Sarajevo, 44m2 - [Iznajmljivanje]",https://olx.ba/artikal/70840373,550.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,44.0,Namješten,4,Centralno (gradsko),12.5,43.825377,18.369031
Stan Sarajevo - Novo Sarajevo 30m2 - [Iznajmljivanje],https://olx.ba/artikal/71829438,550.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,1.0,30.0,Namješten,2,Centralno (gradsko),18.33333333333333,,
Stan Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71240141,550.0,Sarajevo - Novo Sarajevo,Renoviran,Iznajmljivanje,Stan,2.0,45.0,Namješten,1,Struja,12.22222222222222,43.858893,18.399583
Namjesten jednosoban Stan - Novi Grad 30m2 - [Iznajmljivanje],https://olx.ba/artikal/70404496,550.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,1.0,30.0,Namješten,3,Struja,18.33333333333333,43.862348,18.363726
Stan Sarajevo - Centar 37m2 - [Iznajmljivanje],https://olx.ba/artikal/69066742,560.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,1.0,37.0,Namješten,2,Struja,15.135135135135137,43.866908,18.404313
Stan Sarajevo Marijin Dvor Mogućnost niže cijene-čitaj u opisu - [Iznajmljivanje],https://olx.ba/artikal/68699784,590.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,1.0,35.0,Namješten,2,Struja,16.857142857142858,,
Stan Sarajevo - Novi Grad 27m2 - [Iznajmljivanje],https://olx.ba/artikal/71741327,600.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,1.0,27.0,Namješten,10,Centralno (gradsko),22.22222222222222,43.842669,18.348998
stan koševsko brdo - [Iznajmljivanje],https://olx.ba/artikal/71742179,600.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,48.0,Namješten,1,Struja,12.5,,
"Stanovi Ilidža, Pejton, B. Gazija, 600 KM - [Iznajmljivanje]",https://olx.ba/artikal/71552272,600.0,Ilidža,Dobro stanje,Iznajmljivanje,Stan,2.0,54.0,Namješten,3,Plin,11.11111111111111,,
Dvosoban stan/Centar/Sarajevo/54m2 - [Iznajmljivanje],https://olx.ba/artikal/64075296,600.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,54.0,Namješten,11,Centralno (gradsko),11.11111111111111,,
"Velesici, 3-soban,opremljen - [Iznajmljivanje]",https://olx.ba/artikal/69563445,600.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,3.0,75.0,Namješten,1,Centralno (Plin),8.0,43.868119,18.396365
Novogradnja naselje Miljacka namještena garsonjera sa balkonom - [Iznajmljivanje],https://olx.ba/artikal/71857623,600.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,,30.0,Namješten,1,Centralno (Kotlovnica),20.0,43.850747,18.357874
Stan Sarajevo - Centar 53m2 - [Iznajmljivanje],https://olx.ba/artikal/71707112,600.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,2.0,53.0,Namješten,1,Struja,11.320754716981131,,
Stan Sarajevo - Centar Šip - [Iznajmljivanje],https://olx.ba/artikal/71403984,600.0,Sarajevo - Centar,Renoviran,Iznajmljivanje,Stan,2.0,38.0,Namješten,3,Centralno (Plin),15.789473684210526,43.881327,18.400183
Stan Sarajevo - Novi Grad 45m2 REZERVISANO - [Iznajmljivanje],https://olx.ba/artikal/71575310,600.0,Sarajevo - Novi Grad,Novogradnja,Iznajmljivanje,Stan,2.0,45.0,Namješten,6,Centralno (gradsko),13.333333333333334,43.834177,18.337866
Stan pofalici u zgradi 46m2 - [Iznajmljivanje],https://olx.ba/artikal/71681557,600.0,Hadžići,Renoviran,Iznajmljivanje,Stan,1.0,46.0,Namješten,2,Plin,13.043478260869565,43.85992,18.38954
TOTAL PRO/ Stan / garsonjera 32 m2 / Koševo / Centar - [Iznajmljivanje],https://olx.ba/artikal/65909941,600.0,Sarajevo - Centar,Dobro stanje,Iznajmljivanje,Stan,,32.0,Namješten,5,Centralno (gradsko),18.75,43.877869,18.410329
Bistrik Stari Grad- Hrvatin trosoban namješten stan - [Iznajmljivanje],https://olx.ba/artikal/71790281,600.0,Sarajevo - Stari Grad,Dobro stanje,Iznajmljivanje,Stan,3.0,70.0,Namješten,1,Plin,8.571428571428571,,
Stanovi i apartmani Sarajevo - Novo Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71573750,600.0,Sarajevo - Novo Sarajevo,Dobro stanje,Iznajmljivanje,Stan,1.0,39.0,Namješten,2,Centralno (gradsko),15.384615384615383,43.850284,18.395763
Stan Sarajevo - Centar 52m2 - [Iznajmljivanje],https://olx.ba/artikal/71837246,600.0,Sarajevo - Centar,Novogradnja,Iznajmljivanje,Stan,2.0,52.0,Namješten,0,Plin,11.538461538461538,43.855472,18.408616
Izdavanje stan Dobrinja- Sarajevo - [Iznajmljivanje],https://olx.ba/artikal/71661579,600.0,Sarajevo - Novi Grad,Renoviran,Iznajmljivanje,Stan,2.0,54.0,Namješten,2,Centralno (Kotlovnica),11.11111111111111,43.830524,18.350265
