title,url,price_numeric,municipality,rooms,square_m2,equipment,description,price_per_m2
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=629887,159000.0,,Dvosoban,54.0,"Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Namješten, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja nekorišten nov stan u novogradnji, ulica Dečanska, Istočno Sarajevo. Nekretnina površine 54m2 koja se nalazi na 6. spratu zgrade sa liftom se sastoji od ulaznog hodnika, dnevnog boravka, kuhinje, balkona, hodnika, dvije spavaće sobe i kupatila. Grijanje može biti centralno i električno. Dvostrane je orijentacije JUG-ZAPAD. Na podovima postavljen parket, vanjska stolarija je PVC unutrašnja drvena. Lokaciju krasi bogat gradski sadržaj, ispred i okolo zgrade je veliki parking prostor. Za sve informacije pozovite Vašeg agenta za nekretnine! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Haris Kadić +387 62 801 801 agencija@stanpromet.ba ID CODE: 502319 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",2944.4444444444443
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=631089,,,Dvosoban,62.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 61,77m2 , sprat 1. Orijentacija prema Trebeviću sunčana strana i pogledom na ulicu Derviša Numića projektovan kao trosoban komforan stan sa dvije spavaće sobe, kupatilo, dnevnim boravkom sa trpezarijom i kuhinjom. Stan projektovan sa centralnim ulaznim hodnikom iz kojeg se pristupa u sve prostorije sa planiranim prostorom za plakare na vanjskim otvorima koju su većeg formata i od poda do plafona što uz orijentaciju stanu garantira veliku količinu dnevne svjetlosti. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502326 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=631090,,,Dvosoban,62.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 61,77m2 , sprat 2. Orijentacija prema Trebeviću sunčana strana i pogledom na ulicu Derviša Numića projektovan kao trosoban komforan stan sa dvije spavaće sobe, kupatilo, dnevnim boravkom sa trpezarijom i kuhinjom. Stan projektovan sa centralnim ulaznim hodnikom iz kojeg se pristupa u sve prostorije sa planiranim prostorom za plakare na vanjskim otvorima koju su većeg formata i od poda do plafona što uz orijentaciju stanu garantira veliku količinu dnevne svjetlosti. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502325 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=631091,,,Dvosoban,69.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 68,97m2 ,sprat 1. orijentacija prema Grbavici i pogledom na ulicu Grbavička projektovan kao trosoban komforan stan sa dvije spavaće sobe, lođom i dva kupatila, prostranim dnevnim boravkom sa trpezarijom i kuhinjom. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502324 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=631092,,,Dvosoban,69.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 68,97m2 ,sprat 2. orijentacija prema Grbavici i pogledom na ulicu Grbavička projektovan kao trosoban komforan stan sa dvije spavaće sobe, lođom i dva kupatila, prostranim dnevnim boravkom sa trpezarijom i kuhinjom. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502323 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=631093,,,Dvosoban,72.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 71,75m2 , sprat 2. Orijentacija prema Trebeviću sunčana strana i pogledom na ulicu Derviša Numića projektovan kao trosoban komforan stan sa dvije spavaće sobe, lođom i dva kupatila, prostranim dnevnim boravkom sa trpezarijom i izdvojenom kuhinjom. Stan projektovan sa centralnim ulaznim hodnikom iz kojeg se pristupa u sve prostorije sa planiranim prostorom za plakare na vanjskim otvorima koju su većeg formata i od poda do plafona što uz orijentaciju stanu garantira veliku količinu dnevne svjetlosti. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502322 Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=632716,199000.0,,Dvosoban,60.0,"Balkon, Centralno grijanje, Telefonski priključak, Struja, Internet, Podrum","Stanpromet.ba agencija za nekretnine iz svoje ponude za prodaju izdvaja stan sa dvije spavaće sobe odličnog rasporeda površine 60m2 pozicioniran na 2. spratu manje zgrade bez lifta, ulica Smaila Šikala, Buljakov Potok, Opština Novi Grad. Stan čine ulazni hodnik, dnevni boravak s trpezarijom i izlazom na balkon, kuhinja, dvije spavaće sobe, kupatilo, toalet i špajz. Stan je kompletno renoviran. Vanjska stolarija je PVC, postavljeni su gusani radijatori i sigurnosna vrata, izmijenjene instalacije struje i vode. Grijanje je centralno gradsko. Stan se prodaje polunamješten. U neposrednoj blizini je Osnovna škola Umihana Čuvidina, novi dom zdravlja, pošta, supermarket, vrtić, a uskoro i novi kružni tok prema RTV domu. Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Emin Canović +38762943330 agencija@stanpromet.ba ID CODE: 502330 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",3316.6666666666665
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=634726,,,Dvosoban,76.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 75,89m2 . Orijentacija prema Trebeviću sunčana strana i pogledom na ulicu Derviša Numića projektovan kao trosoban komforan stan sa dvije spavaće sobe, dva kupatila, dnevnim boravkom sa trpezarijom i izdvojenom kuhinjom i balkonom. Stan projektovan sa centralnim ulaznim hodnikom iz kojeg se pristupa u sve prostorije sa planiranim prostorom za plakare na vanjskim otvorima koju su većeg formata i od poda do plafona što uz orijentaciju stanu garantira veliku količinu dnevne svjetlosti. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502340 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=634727,,,Dvosoban,52.0,"Garaža, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude nekretnina u izgradnji za prodaju najavljuje i izdvaja poslovni prostor na TOP lokaciji Općina Novo Sarajevo, Ulica Grbavička i Derviša Numića. Stambeno poslovna zgrada u izgradnji na atraktivnoj lokaciji ulica Grbavička i Derviša Numića skretanje za Vraca. Zgrada od ukupno 14 stanova od čega jedan Penthouse na zadnjem spratu i dva poslovno stambena prostora na prizemlju, u suterenu na -1 smještene garaže i na -2 ostave. Stanovi su sa jednom i dvije spavaće sobe. Orijentacije na Ulicu Derviša Numića ili Grbavičku. Stan sa ponude projektovane površine 51,99m2 . Orijentacija prema Grbavici i pogledom na ulicu Grbavička projektovan kao trosoban komforan stan sa jednom spavaćom sobom, lođom i kupatilo, prostranim dnevnim boravkom sa trpezarijom i kuhinjom. Pored same lokacije bitno je naglasiti kvalitet završnih radova i ugrađene opreme, od čega bi istakli kvalitetan sistem grijanja na toplotne pumpe za svaki stan zasebno uz vrhunsku vanjsku stolariju i unutrašnju. Lift Kone povezan sa minus etažama, uvozne visoko kvalitetne pločice i podne obloge parketi na podovima. Uz svaki stan je moguće kupiti i garažno parking mjesto i ostavu(obligaciono). Predviđeni rok za završetak radova je 01.06.2024 a za tehnički prijem i etažiranje 01.09.2024. Za sve dodatne informacije kao i termin obilaska stojimo Vam na raspolaganju! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Hadis Kadić +38762830830 agencija@stanpromet.ba ID CODE: 502339 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba Hadis Kadić Agent s licencom Mob: 062830830 Tel: 033842555 E-mail: info@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=634729,,,Dvosoban,96.0,"Garaža, Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja trosoban stan na 7. spratu u Sarajevo Tower na izuzetno atraktivnoj lokaciji u ulici Kolodvorska, općina Novo Sarajevo. Stan površine 96.6m2 čine dnevni boravak i trpezarija, dvije spavaće sobe, hodnik, kuhinja, kupatilo, wc, lođa. Jugoistočna orijentacija. Završni građevinski materijali kustomizirani. Stan je nov i useljiv odmah. Grijanje u stanovima je centralno gradsko sa vlastitim kalilometrom. Ono što krasi ovu izuzetnu građevinu jeste 26 spratova sa 8 brzih liftova. U samom objektu je najkvalitetnija stolarija, keramika, instalacije, liftovi- Kone. Na prva tri sprata veliki tržni centar i podzemna parking mjesta u sklopu objekta. Na samo 2 minute od objekta se nalazi javni gradski prijevoz te glavna saobraćajnica, restorani, trgovine, banke, pošta, škole i bolnice, te mnogo drugih sadržaja neophodnih za funkciju jedne moderne gradske porodice. Za sve informacije pozovite Vašeg agenta za nekretnine! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Emin Canović +38762943330 agencija@stanpromet.ba ID CODE: 502337 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=635537,,,Trosoban,194.0,"Garaža, Balkon, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja penthouse na 25.spratu objekta Sarajevo Tower, naselje Socijalno, općina Novo Sarajevo. Stan jugozapadne orijentacije i pogledom na grad ima površinu od 194m2. Stan posjeduje dva vlastita garažna mjesta i ostavu od cca. 20m2. Grijanje i hlađenje u stanu je na toplotne pumpe zasebno. Tri spavaće sobe i tri kupatila, od čega je jedna spavaća master. Portali od plafona do poda, dva balkona, unutrašnje stepenice. U samom objektu je najkvalitetnija stolarija, keramika, instalacije, liftovi- Kone. Na prva tri sprata veliki tržni centar i podzemna parking mjesta u sklopu objekta. Na samo 2 minute od objekta se nalazi javni gradski prijevoz te glavna saobraćajnica, restorani, trgovine, banke, pošta, škole i bolnice, te mnogo drugih sadržaja neophodnih za funkciju jedne moderne gradske porodice. Za sve informacije pozovite Vašeg agenta za nekretnine! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Haris Kadić +387 62 801 801 agencija@stanpromet.ba ID CODE: 502344 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=635539,129000.0,,Jednosoban,47.0,"Centralno grijanje, Telefonski priključak, Struja, Lift, Podrum","Stanpromet.ba agencija za nekretnine iz svoje ponude za prodaju izdvaja stan sa jednom spavaćom sobom odličnog rasporeda površine 47m2 pozicioniran na 11. spratu zgrade sa 2 lifta, ulica Trg solidarnosti, Alipašino polje A faza, Opština Novi Grad. Stan čine ulazni hodnik, dnevni boravak sa izlazom na balkon, kuhinja, trpezarija, spavaća soba i kupatilo. Stan je u izvornom stanju. Grijanje je centralno gradsko. Lokaciju krasi bogat gradski sadržaj, a izdvajamo veliku pijacu, Osnovnu školu Meša Selimović, novootvoreni državni vrtić, veliki broj parkova, Mercator, DM... Tu su i Pink i RTV Dom, banke, zgrada Općine, te centar za sport i rekreaciju Safet Zajko. Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Emin Canović +38762943330 agencija@stanpromet.ba ID CODE: 502342 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",2744.68085106383
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=635945,,,Dvosoban,72.0,"Garaža, Balkon, Centralno grijanje, Struja, Lift, Namješten, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine izdvaja ekskluzivnu prodaju apartmana u Okijevoj zgradi u srcu olimpijske ljepotice Bjelašnica. Okijeva zgrada se nalazi na desnoj strani planinskog Centra u neposrednoj blizini ski staze u Babinom Dolu, Bjelašnica. Sa nadmorskom visinom od 1.300m lokacija pruža idealan planinski ugođaj svim zaljubljenicima prirode i rekreativcima, kako u zimskom tako i u ljetnom periodu. Bjelašnica je ljeti prekrivena bogatim zelenilom, a zimi i do 3m visokim snijegom. U neposrednoj blizini objekta su smješteni brojni sportsko rekreativni sadržaji i hotelski kompleksi, koji uveliko doprinose potpunom ugođaju po kojem je Bjelašnica poznata. Od centra Sarajeva je udaljena samo 25km, a obzirom da je Bjelašnica olimpijska planina, odlično je posjećena tokom cijele godine, kako od ljubitelja prirode tako i od mnogobrojnih turista, koji dolaze uživati u odmoru i rekreaciji koje pruža ova olimpijska ljepotica. Apartman se nalazi na trećem spratu zgrade sa liftom. Površinu 72 m2 čine ulazni hodnik, veliki dnevni boravak s kaminom i izlazom na balkon, dvije spavaće sobe, trpezarija, kuhinja i kupatilo. Nekretnine je dvostrano orijentisana, a veliki prozorski otvori u kombinaciji sa stropovima visine 3.8 metara čine je izuzetno ugodnom za boravak. Sa velikog balkona se pruža otvoren pogled na stazu. Apartman se prodaje opremljen kao na slikama. U podnožju objekta je garažno mjesto 15 m2 i skijašnica/ostava površine 3 m2, te lift kao komunikacija sa apartmanom. Zgrada ima ulaze sa dvije strane. Na LINKU ispod možete pogledati detaljno naš 360° virtualni prikaz apartmana. Stanpromet.ba - agencija za nekretnine Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Emin Canović +387 62 943 330 ID CODE: 502345 Emin Canović Agent s licencom Mob: 062943330 Tel: 033842555 E-mail: emin.canovic@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=637551,,,Dvosoban,74.0,"Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Klima, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja trosoban stan u Istočnom Sarajevu, ulica Spasovdanska. Površina stana iznosi 73.50m2 i nalazi se na 7.spratu novogradnje sa liftom. Stan se sastoji od predulaza, hodnika, dnevne sobe sa kuhinjom i trpezarijom, dvije spavaće sobe, kupatilo, toaleta i velikog balkona. Dvostrane je orijentacije ISTOK - JUG. Stan se prodaje sa svim ugradbenim elementima. Vanjska stolarija je PVC visokog kvaliteta sa vanjskim roletnama na el. podizače. Veliki balkon natkriven tendom sa otvorenim pogledom. Extra lokacija u neposrednoj blizini Međunarodnog aerodroma Sarajevo sa dovoljno parking prostora ispred objekta i sa bogatim gradskim sadržajem. Za sve informacije kao i termin obilaska pozovite Vašeg agenta za nekretnine! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Registarski broj posrednika 001/2022! Grbavička 8b, 71000 Sarajevo Agent Haris Kadić +387 62 801 801 agencija@stanpromet.ba ID CODE: 502353 Haris Kadić Agent s licencom Mob: 062801801 Tel: 033842555 E-mail: agencija@stanpromet.ba www.stanpromet.ba",
Sarajevo,https://nekretnine.ba/real-estate.php?lang=ba&sel=nekretnine&view=637965,109000.0,,Jednosoban,36.0,"Balkon, Centralno grijanje, Telefonski priključak, Struja, Lift, Internet, Video nadzor","Stanpromet.ba - agencija za nekretnine iz svoje ponude za prodaju izdvaja dvosoban stan u novogradnji u Istočnom Sarajevu, ulica I sarajevske brigade. Nekretnina se nalazi na trećem spratu objekta sa liftom. U svojoj površini od 36m2 se sastoji od ulaznog hodnika, dnevnog boravka s trpezarijom I kuhinjom, spavaća soba, kupatilo i lođa. Zgrada u kojoj su smješteni ovi vrhunski stanovi spratnosti prizemlje + 5 spratova, zgrada sa liftom i centralnim stubištem, pristup svakom spratu osiguran zasebnim protuprovalnim i protivpožarnim vratima, svaki sprat broji 8 stambenih jedinica to jest ukupno 40 stanova, koncipiranih kao stanovi sa jednom, dvije i tri spavaće sobe , stanovi sa jednom spavaćom sobom površine od 42m2 do 49m2 i stanovi sa dvije i tri spavaće sobe do 81m2 dostupni na etažama od prvog do petog sprata. Na prizemlju su projektovani poslovni prostori. Vrhunski kvalitet građevinskih elmenata korištenih u izgradnji objekta kao i završnih podnih obloga, sanitarija, stolarije vanjske PVC Salamander 6.komora troslojno staklosa vanjskim roletnama i unutrašnje. Termo izolacija od 10cm kamena vuna osiguravaju svim kupcima stanova u objektu niske troškove redovnih i tekućih održavanja. Odličnu Energetsku efikasnost za hlađenje i zagrijavanje prostora uz odličnu zvučnu izloaciju koja garantuje svim kupcima ugodan boravak i korištenje uz minimalne troškove režija., dobru lokaciju sa putnom komunikacijom uz dostupnost svih sadržaja potrebnih za ugodan život, Na podovima je postavljen Terkett troslojni, u kupatilu i kuhinji kvalitetne pločice Španske podne 45x45 zidne 28x85, u kuhinji 60x60 i hodniku 60x120, Sanitarije Grohe baterije , Kolpa san tuškade i kabine i Geberit vodokotlić ugradbeni, bojler Ariston, ulazna vrata su blindirana. Priprema za klima uređaj. Grijanje je na centralno gradsko uz opciju kalorimetra plaćanje po potrošnji, kvalitet ugradbenih elemenata. Za sve dodatne informacije možete nas kontaktirati! Certificirana agencija za nekretnine Stanpromet.ba Nekretnine Broj i datum rješenja o ispunjavanju uslova za obavljanje djelatnosti posredovanja 14.06/1-320-146/23 od 16.05.2023. Uvjerenja o položenom stručnom ispitu za obavljanje poslova agenta posredovanja u prometu nepokretnosti 14.06-320-897/21 od 12.11.2021. Podružnica Stanpromet Istočno Sarajevo Istočno Sarajevo, ul. Vuka Karadžića br.28/1 Agent Hadis Kadić +387 62 830 830 agencija@stanpromet.ba ID CODE: 502354 Kancelarija Grbavica Voditelj ureda Mob: 062943332 Tel: 033848484 E-mail: kancelarija@stanpromet.ba www.stanpromet.ba",3027.777777777778
